央视直播,#genre#
CCTV1,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/CCTV-1H265_4000.m3u8
CCTV2,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/CCTV-2H265_4000.m3u8
CCTV3,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/CCTV-3H265_4000.m3u8
CCTV4,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/CCTV-4H265_4000.m3u8
CCTV5,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/CCTV-5H265_4000.m3u8
CCTV5+,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/CCTV-5plusH265_4000.m3u8
CCTV6,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/CCTV-6H265_4000.m3u8
CCTV7,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/CCTV-7H265_4000.m3u8
CCTV8,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/CCTV-8H265_4000.m3u8
CCTV9,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/CCTV-9H265_4000.m3u8
CCTV10,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/CCTV-10H265_4000.m3u8
CCTV11,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/CCTV-11-H265_4000.m3u8
CCTV12,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/CCTV-12H265_4000.m3u8
CCTV13,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/CCTV-xw_4000.m3u8
CCTV14,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/CCTV-14H265_4000.m3u8
CCTV15,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/CCTV-15-yyH265_4000.m3u8
CCTV16,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/CCTV-16_4000.m3u8
CCTV16-4k,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/CCTV-16-4K_8000.m3u8
CCTV17,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/CCTV-17_4000.m3u8
CCTV4K,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/ys4Kcq_2000.m3u8
CGTN,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/CGTN_4000.m3u8
CGTN西语,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/xbyy_2000.m3u8
CGTN法语,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/fy_2000.m3u8
CGTN俄语,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/ey_2000.m3u8
卫视直播,#genre#
北京卫视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/bjwsH265_4000.m3u8
东方卫视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/dfwsH265_4000.m3u8
天津卫视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/tjwsH265_4000.m3u8
重庆卫视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/cqwsH265_4000.m3u8
黑龙江卫视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/hljwsH265_4000.m3u8
吉林卫视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/jlwsH265_4000.m3u8
辽宁卫视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/lnwsHDH264_4000.m3u8
内蒙古卫视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/nmgws_4000.m3u8
甘肃卫视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/gsws_4000.m3u8
青海卫视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/qhwsH264_2000.m3u8
陕西卫视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/sxws_4000.m3u8
山西卫视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/sxws42_4000.m3u8
山东卫视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/sdwsH265_4000.m3u8
安徽卫视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/ahwsH265_4000.m3u8
河南卫视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/hnws35_4000.m3u8
湖北卫视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/hbwsH265_4000.m3u8
湖南卫视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/hnwsH265_4000.m3u8
江西卫视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/jxwsH265_4000.m3u8
江苏卫视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/jswsH265_4000.m3u8
浙江卫视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/zjwsH265_4000.m3u8
东南卫视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/dnwsfjwsH265_4000.m3u8
广东卫视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/gdwsH265_4000.m3u8
深圳卫视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/szwsH265_4000.m3u8
广西卫视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/gxws_4000.m3u8
云南卫视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/ynws_4000.m3u8
贵州卫视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/gzwsH265_4000.m3u8
四川卫视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/scwsH265_4000.m3u8
康巴卫视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/kbwsH264_2000.m3u8
新疆卫视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/xjws_4000.m3u8
兵团卫视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/btws_4000.m3u8
西藏卫视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/xzwsH264_2000.m3u8
海南卫视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/hnws_4000.m3u8
卡酷少儿,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/kkkt_4000.m3u8
金鹰卡通,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/jykt_2000.m3u8
嘉佳卡通,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/jjkt_2000.m3u8
四川直播,#genre#
成都少儿,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/CDTV-6_2000.m3u8
四川经济,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/SCTV-2-H265_4000.m3u8
四川文化,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/SCTV-3-H265_4000.m3u8
四川新闻,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/SCTV-4H265_4000.m3u8
四川影视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/SCTV-5-scysH265_4000.m3u8
四川科教,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/SCTV-ggSCTV-8_4000.m3u8
四川乡村,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/SCTV-kjSCTV-9-_4000.m3u8
峨嵋电影,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/emdygqH265_4000.m3u8
峨眉电影4K,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/emdy4k_8000.m3u8
成都新闻,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/CDTV-1_4000.m3u8
成都经济,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/CDTV-2_4000.m3u8
成都都市,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/CDTV-3_4000.m3u8
成都影视,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/CDTV-4_4000.m3u8
成都公共,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/CDTV-5_4000.m3u8
成都购物,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/mrgw_4000.m3u8
成都高新,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/cdgxdstgq_2000.m3u8
CHC影迷电影,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/lnwsCHC-HDH265_4000.m3u8
CHC动作电影,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/wqCHCdzdyH265_4000.m3u8
CHC家庭影院,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/jbtygqCHCjtyyH265_4000.m3u8
中央新影-老故事,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/lgs_2000.m3u8
中央新影-中学生,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/zxs_4000.m3u8
中央新影-发现之旅,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/fxzl_2000.m3u8
书画频道,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/sh_4000.m3u8
中国天气,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/zgqx_4000.m3u8
重温经典,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/CWJD_4000.m3u8
CETV1,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/CETV-1H264_4000.m3u8
CETV2,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/CETV-2_4000.m3u8
CETV4,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/CETV-4H264_2000.m3u8
四海钓鱼,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/shdy_4000.m3u8
车迷,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/cmpdH264_2000.m3u8
证劵服务,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/jz_2000.m3u8
聚鲨环球精选,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/hqgw_4000.m3u8
动漫秀场,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/yybb-dmxc-H265_4000.m3u8
都市剧场,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/yxfydsjcHDH265_4000.m3u8
法治天地,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/fztx_4000.m3u8
欢笑剧场,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/hxjc-4k_8000.m3u8
乐游,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/qjs-HDH265_4000.m3u8
魅力足球,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/mlyy_4000.m3u8
生活时尚,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/shssH265_4000.m3u8
新视觉,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/ycxsjH265_4000.m3u8
汽摩,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/qmpdH264_2000.m3u8
家有购物,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/jygw_4000.m3u8
家庭理财,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/jtlc_4000.m3u8
优购物,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/ygw_4000.m3u8
凤凰中文,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/test1_4000.m3u8
凤凰资讯,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/test2_4000.m3u8
梨园频道,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/ly_4000.m3u8
武术世界,http://152.136.216.44:26859/edge-cache02.live3.omd.sc96655.com/live/wssj_4000.m3u8
